2023-04-27 11:59:20,349 INFO    StreamThr :63060 [internal.py:wandb_internal():86] W&B internal server running at pid: 63060, started at: 2023-04-27 11:59:20.348832
2023-04-27 11:59:20,349 DEBUG   HandlerThread:63060 [handler.py:handle_request():144] handle_request: status
2023-04-27 11:59:20,351 INFO    WriterThread:63060 [datastore.py:open_for_write():85] open: /home/jonah/Documents/school/idl/activation_ForwardForward/new_code/wandb/run-20230427_115920-2s1ehb6w/run-2s1ehb6w.wandb
2023-04-27 11:59:20,351 DEBUG   SenderThread:63060 [sender.py:send():375] send: header
2023-04-27 11:59:20,356 DEBUG   SenderThread:63060 [sender.py:send():375] send: run
2023-04-27 11:59:20,566 INFO    SenderThread:63060 [dir_watcher.py:__init__():219] watching files in: /home/jonah/Documents/school/idl/activation_ForwardForward/new_code/wandb/run-20230427_115920-2s1ehb6w/files
2023-04-27 11:59:20,567 INFO    SenderThread:63060 [sender.py:_start_run_threads():1124] run started: 2s1ehb6w with start time 1682611160.347596
2023-04-27 11:59:20,567 DEBUG   SenderThread:63060 [sender.py:send_request():402] send_request: summary_record
2023-04-27 11:59:20,567 INFO    SenderThread:63060 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-27 11:59:20,570 DEBUG   HandlerThread:63060 [handler.py:handle_request():144] handle_request: check_version
2023-04-27 11:59:20,571 DEBUG   SenderThread:63060 [sender.py:send_request():402] send_request: check_version
2023-04-27 11:59:20,617 DEBUG   HandlerThread:63060 [handler.py:handle_request():144] handle_request: run_start
2023-04-27 11:59:20,624 DEBUG   HandlerThread:63060 [system_info.py:__init__():31] System info init
2023-04-27 11:59:20,624 DEBUG   HandlerThread:63060 [system_info.py:__init__():46] System info init done
2023-04-27 11:59:20,624 INFO    HandlerThread:63060 [system_monitor.py:start():181] Starting system monitor
2023-04-27 11:59:20,624 INFO    SystemMonitor:63060 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-27 11:59:20,624 INFO    HandlerThread:63060 [system_monitor.py:probe():201] Collecting system info
2023-04-27 11:59:20,625 INFO    SystemMonitor:63060 [interfaces.py:start():190] Started cpu monitoring
2023-04-27 11:59:20,625 INFO    SystemMonitor:63060 [interfaces.py:start():190] Started disk monitoring
2023-04-27 11:59:20,625 INFO    SystemMonitor:63060 [interfaces.py:start():190] Started gpu monitoring
2023-04-27 11:59:20,626 INFO    SystemMonitor:63060 [interfaces.py:start():190] Started memory monitoring
2023-04-27 11:59:20,626 INFO    SystemMonitor:63060 [interfaces.py:start():190] Started network monitoring
2023-04-27 11:59:20,634 DEBUG   HandlerThread:63060 [system_info.py:probe():195] Probing system
2023-04-27 11:59:20,638 DEBUG   HandlerThread:63060 [system_info.py:_probe_git():180] Probing git
2023-04-27 11:59:20,644 DEBUG   HandlerThread:63060 [system_info.py:_probe_git():188] Probing git done
2023-04-27 11:59:20,645 DEBUG   HandlerThread:63060 [system_info.py:probe():240] Probing system done
